date,year,site,region,measure,data_value,unit,statistic,dataset
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.171,NA,Value,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,Salinity,34.222,NA,Mean,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,Total alkalinity,2282.4,umol/kg-1,Value,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2063.5,umol/kg-1,Value,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,pH,8.0999,NA,Value,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.9457e-09,mol/kg-1,Value,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,343.8,uatm,Value,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.2,Degrees Celsius,Mean,Munida
2001-01-31,2001,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.397,NA,Value,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,Salinity,34.287,NA,Mean,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,Total alkalinity,2290.9,umol/kg-1,Value,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2075.0,umol/kg-1,Value,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,pH,8.1070,NA,Value,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.8158e-09,mol/kg-1,Value,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,338.1,uatm,Value,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.2,Degrees Celsius,Mean,Munida
2001-04-09,2001,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.360,NA,Value,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,Salinity,34.262,NA,Mean,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,Total alkalinity,2285.2,umol/kg-1,Value,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2095.3,umol/kg-1,Value,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,pH,8.0885,NA,Value,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1561e-09,mol/kg-1,Value,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,353.3,uatm,Value,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.9,Degrees Celsius,Mean,Munida
2001-05-29,2001,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.091,NA,Value,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,Salinity,34.336,NA,Mean,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,Total alkalinity,2286.2,umol/kg-1,Value,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2106.5,umol/kg-1,Value,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,pH,8.0769,NA,Value,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3775e-09,mol/kg-1,Value,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,363.7,uatm,Value,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.1,Degrees Celsius,Mean,Munida
2001-08-01,2001,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.989,NA,Value,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,Salinity,34.563,NA,Mean,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,Total alkalinity,2296.3,umol/kg-1,Value,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2104.0,umol/kg-1,Value,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,pH,8.0788,NA,Value,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3406e-09,mol/kg-1,Value,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,363.9,uatm,Value,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.5,Degrees Celsius,Mean,Munida
2001-09-18,2001,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.118,NA,Value,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,Salinity,34.421,NA,Mean,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,Total alkalinity,2286.0,umol/kg-1,Value,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2079.2,umol/kg-1,Value,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,pH,8.0843,NA,Value,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.2349e-09,mol/kg-1,Value,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,358.2,uatm,Value,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.4,Degrees Celsius,Mean,Munida
2001-12-03,2001,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.271,NA,Value,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,Salinity,34.438,NA,Mean,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,Total alkalinity,2284.0,umol/kg-1,Value,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2051.6,umol/kg-1,Value,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,pH,8.0985,NA,Value,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.9714e-09,mol/kg-1,Value,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,345.1,uatm,Value,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,Salt water temperature,13.9,Degrees Celsius,Mean,Munida
2002-01-29,2002,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.543,NA,Value,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,Salinity,34.388,NA,Mean,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,Total alkalinity,2283.8,umol/kg-1,Value,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2072.7,umol/kg-1,Value,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,pH,8.0951,NA,Value,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.0330e-09,mol/kg-1,Value,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,347.8,uatm,Value,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,Salt water temperature,11.3,Degrees Celsius,Mean,Munida
2002-04-11,2002,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.310,NA,Value,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,Salinity,34.289,NA,Mean,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,Total alkalinity,2286.0,umol/kg-1,Value,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2095.8,umol/kg-1,Value,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,pH,8.0864,NA,Value,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1960e-09,mol/kg-1,Value,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,355.4,uatm,Value,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.1,Degrees Celsius,Mean,Munida
2002-06-12,2002,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.095,NA,Value,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,Salinity,34.407,NA,Mean,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,Total alkalinity,2288.2,umol/kg-1,Value,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2108.3,umol/kg-1,Value,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,pH,8.0750,NA,Value,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.4133e-09,mol/kg-1,Value,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,365.7,uatm,Value,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.2,Degrees Celsius,Mean,Munida
2002-08-14,2002,Taiaroa Head (50km offshore),Otago,Aragonite saturation,1.992,NA,Value,Munida
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,Salinity,34.321,NA,Mean,Munida
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,Total alkalinity,2285.1,umol/kg-1,Value,Munida
2002-09-09,2002,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2103.9,umol/kg-1,Value,Munida
